2,467181
6,158453
7,220362
11,306935
13,289763
14,43518
14,239015
15,208580
16,169823
24,163100
24,477302
25,368750
26,21772
26,406437
27,473204
28,34619
29,134033
29,465270
31,448599
34,446474
37,451721
38,119488
42,401402
43,192953
43,224454
45,307462
45,442858
51,351814
52,227649
56,292314
57,344693
60,288157
62,308959
63,435205
64,365332
67,213453
67,291945
68,52252
68,201101
68,248972
69,47366
69,281406
72,30282
72,172280
74,270519
74,295564
74,342263
75,324324
77,330338
78,376484
90,278734
91,175537
91,397517
94,366660
95,24795
97,184192
97,225314
98,346096
101,114846
103,207293
104,372565
108,20782
108,43111
109,121142
111,349840
113,387441
115,366045
117,259420
117,355783
118,294832
121,257295
122,418028
123,474510
128,469340
129,36481
130,408954
136,160800
138,412160
143,114219
143,239032
146,38726
149,157066
151,450941
153,126399
162,76307
163,334115
165,347416
167,160457
167,446475
168,243909
171,91345
171,369690
172,145272
178,386445
180,79787
182,45313
185,200349
186,72192
186,238722
187,442634
190,227721
198,236880
199,163185
204,342642
204,362601
205,259778
205,348039
207,397202
212,293742
213,280970
221,464537
222,54892
222,223940
223,252295
225,96334
231,85321
234,257439
236,139237
239,163785
240,381342
240,409140
240,439704
241,17638
241,237971
243,65719
243,72735
243,238062
243,430749
245,12167
245,324372
245,476326
246,176303
249,417334
251,194747
252,344547
252,458597
255,367319
256,284152
257,286130
258,362325
260,78586
262,12621
263,102695
263,259022
266,276317
268,55970
269,361340
269,406269
270,32469
273,144565
274,143596
274,273657
275,379216
275,420723
276,250991
276,408589
280,240929
281,92166
281,271964
282,419303
284,171816
284,329243
285,431706
285,473494
295,388002
296,270564
297,62464
297,73590
297,384183
298,32370
300,277563
302,127962
305,193287
306,415373
307,305085
309,74700
312,427550
315,172306
315,428059
316,277453
318,221344
319,452494
320,392452
321,125131
326,12499
327,426290
331,196740
336,53253
336,327060
337,332515
339,413816
341,176357
346,87536
347,106622
351,136062
351,342327
352,275486
352,298493
353,340280
358,184493
363,291427
368,83762
368,334220
369,386544
371,359768
372,13787
372,175441
375,343225
376,99805
376,288188
380,323807
382,52507
386,248688
388,173852
388,329372
388,357358
389,178570
394,334284
394,366517
396,270116
400,75555
402,143435
409,684
412,183293
412,272545
413,96331
414,15145
418,353387
419,348310
421,249810
424,18177
425,91615
429,88341
429,376202
431,328357
432,342990
433,375032
434,105116
437,146360
437,463803
438,389273
438,405315
440,81137
440,124499
441,12015
441,144929
441,261183
442,82083
442,160356
442,395238
443,427933
444,284294
449,338726
453,54347
453,106380
455,46633
457,374433
458,216775
461,294398
464,372184
467,66569
467,108603
471,132122
475,122850
476,225994
483,225451
483,399068
484,214194
489,28889
489,82976
490,37204
492,43565
494,405226
503,414640
504,393241
507,32468
507,476941
510,236667
512,257748
516,435163
519,77498
519,399013
520,158146
524,187136
524,369406
526,259271
526,381760
528,125360
528,458446
530,370635
538,382077
539,429248
540,26071
540,184865
543,259458
544,429521
545,4038
547,472012
550,172347
553,158727
554,259981
554,457660
558,44653
558,113344
559,353074
564,352868
565,230541
569,12398
569,28218
569,171980
569,263662
569,319921
572,7248
575,3803
575,196414
575,204741
575,412953
576,93539
580,375763
583,37738
586,458669
587,153330
588,328181
589,164298
592,212318
597,279197
598,333017
599,83505
599,191089
599,346590
605,380730
608,227754
610,331916
612,36447
613,220489
614,430972
615,392653
615,401160
618,327001
623,280231
625,88574
627,60840
627,281382
629,472717
632,31161
638,67154
640,89945
643,163387
643,405053
643,453662
645,199601
651,10314
651,307437
652,55994
653,40309
656,212253
657,219531
658,90565
658,159179
659,189557
659,447470
665,98849
665,166384
674,38037
674,465304
675,350898
676,65740
680,241890
685,271583
687,285527
696,353263
697,15987
699,198217
700,244499
702,168691
703,69776
703,195922
705,30738
706,266072
708,28621
708,60225
708,235235
711,204781
715,103655
718,230764
719,9309
719,13943
720,311464
724,6313
724,272879
725,139599
725,321534
726,363003
729,221642
730,444948
731,466730
734,40491
735,41554
737,166456
737,287888
739,439015
747,226136
751,252668
751,474198
753,287172
756,46014
757,81984
759,312136
763,140191
764,211045
766,347064
770,396104
771,474086
773,200627
776,24920
783,128228
785,197711
788,243791
792,335587
792,430840
793,285156
794,78882
796,102473
797,51552
800,45208
803,193222
803,337575
809,247921
809,406603
816,141704
816,150917
817,393818
819,25805
819,106425
821,143399
822,18690
822,91544
826,291315
830,80073
835,252674
